,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2020-07-06,3.2866077423095703,4.202906608581543,4.269999980926514,4.71999979019165,4.289999961853027,4.739999771118164,4.110000133514404,4.440000057220459,4.110000133514404,4.440000057220459,423753375,443275190
2020-07-07,3.2558200359344482,4.1850972175598145,4.230000019073486,4.699999809265137,4.360000133514404,4.880000114440918,4.230000019073486,4.659999847412109,4.309999942779541,4.769999980926514,420182152,397893345
2020-07-08,3.2404258251190186,4.158384799957275,4.210000038146973,4.670000076293945,4.21999979019165,4.690000057220459,4.130000114440918,4.579999923706055,4.210000038146973,4.670000076293945,289021034,270532624
2020-07-09,3.2558200359344482,4.220715045928955,4.230000019073486,4.739999771118164,4.25,4.769999980926514,4.170000076293945,4.630000114440918,4.199999809265137,4.679999828338623,271902156,261168874
2020-07-10,3.1788504123687744,4.096052646636963,4.130000114440918,4.599999904632568,4.199999809265137,4.699999809265137,4.119999885559082,4.590000152587891,4.199999809265137,4.699999809265137,217219229,202448610
2020-07-13,3.2096383571624756,4.122766494750977,4.170000076293945,4.630000114440918,4.179999828338623,4.659999847412109,4.119999885559082,4.570000171661377,4.130000114440918,4.590000152587891,241002124,173551732
2020-07-14,3.1480624675750732,4.060434818267822,4.090000152587891,4.559999942779541,4.170000076293945,4.619999885559082,4.070000171661377,4.519999980926514,4.150000095367432,4.619999885559082,279702490,176757915
2020-07-15,3.117274522781372,3.998103380203247,4.050000190734863,4.489999771118164,4.130000114440918,4.599999904632568,4.039999961853027,4.480000019073486,4.110000133514404,4.579999923706055,190492259,150545694
2020-07-16,3.0633955001831055,3.9268674850463867,3.9800000190734863,4.409999847412109,4.070000171661377,4.519999980926514,3.9800000190734863,4.400000095367432,4.070000171661377,4.5,217229888,174747849
2020-07-17,3.0556983947753906,3.9090585708618164,3.9700000286102295,4.389999866485596,4.0,4.429999828338623,3.9600000381469727,4.360000133514404,3.990000009536743,4.400000095367432,130986083,114824684
2020-07-20,3.1095774173736572,3.998103380203247,4.039999961853027,4.489999771118164,4.050000190734863,4.5,3.9700000286102295,4.380000114440918,3.9800000190734863,4.400000095367432,157380543,130034110
2020-07-21,3.0941836833953857,3.9802944660186768,4.019999980926514,4.46999979019165,4.070000171661377,4.519999980926514,4.010000228881836,4.449999809265137,4.050000190734863,4.5,117647289,84861965
2020-07-22,3.1403651237487793,4.104957580566406,4.079999923706055,4.610000133514404,4.130000114440918,4.650000095367432,4.03000020980835,4.5,4.050000190734863,4.5,254716763,283144151
2020-07-23,3.1018807888031006,4.042625904083252,4.03000020980835,4.539999961853027,4.079999923706055,4.599999904632568,3.990000009536743,4.480000019073486,4.059999942779541,4.579999923706055,174838982,177301977
2020-07-24,3.078789472579956,4.007008075714111,4.0,4.5,4.090000152587891,4.659999847412109,3.990000009536743,4.489999771118164,4.059999942779541,4.619999885559082,192382446,216125883
2020-07-27,3.086486577987671,3.9713900089263916,4.010000228881836,4.460000038146973,4.03000020980835,4.53000020980835,3.990000009536743,4.420000076293945,4.010000228881836,4.510000228881836,123328259,104263759
2020-07-28,3.086486577987671,3.9802944660186768,4.010000228881836,4.46999979019165,4.039999961853027,4.510000228881836,3.990000009536743,4.460000038146973,4.03000020980835,4.46999979019165,117682341,79414097
2020-07-29,3.0941836833953857,4.007008075714111,4.019999980926514,4.5,4.019999980926514,4.510000228881836,3.9800000190734863,4.420000076293945,4.010000228881836,4.449999809265137,198564764,90811197
2020-07-30,3.0710926055908203,3.9713900089263916,3.990000009536743,4.460000038146973,4.019999980926514,4.510000228881836,3.990000009536743,4.449999809265137,4.010000228881836,4.5,97227740,69025380
2020-07-31,3.078789472579956,3.9624860286712646,4.0,4.449999809265137,4.010000228881836,4.510000228881836,3.9700000286102295,4.420000076293945,3.9800000190734863,4.440000057220459,140601917,99610118
2020-08-03,3.086486577987671,3.98919939994812,4.010000228881836,4.480000019073486,4.019999980926514,4.5,3.990000009536743,4.440000057220459,4.0,4.449999809265137,131665126,124056138
2020-08-04,3.1095774173736572,4.033722400665283,4.039999961853027,4.53000020980835,4.050000190734863,4.550000190734863,4.0,4.460000038146973,4.010000228881836,4.489999771118164,167470192,138654129
2020-08-05,3.0941836833953857,4.007008075714111,4.019999980926514,4.5,4.039999961853027,4.53000020980835,4.0,4.460000038146973,4.03000020980835,4.53000020980835,111561964,107714697
2020-08-06,3.1018807888031006,4.033722400665283,4.03000020980835,4.53000020980835,4.059999942779541,4.550000190734863,4.010000228881836,4.489999771118164,4.039999961853027,4.53000020980835,171519832,141514626
2020-08-07,3.0710926055908203,3.9624860286712646,3.990000009536743,4.449999809265137,4.019999980926514,4.5,3.9800000190734863,4.440000057220459,4.019999980926514,4.5,170693183,115958049
2020-08-10,3.078789472579956,3.9802944660186768,4.0,4.46999979019165,4.010000228881836,4.480000019073486,3.9700000286102295,4.429999828338623,3.990000009536743,4.449999809265137,146323592,79108815
2020-08-11,3.0710926055908203,3.9624860286712646,3.990000009536743,4.449999809265137,4.019999980926514,4.5,3.990000009536743,4.440000057220459,4.010000228881836,4.489999771118164,157801790,92287648
2020-08-12,3.0710926055908203,3.9713900089263916,3.990000009536743,4.460000038146973,4.0,4.46999979019165,3.9700000286102295,4.409999847412109,3.990000009536743,4.429999828338623,177450604,98193925
2020-08-13,3.086486577987671,3.9802944660186768,4.010000228881836,4.46999979019165,4.019999980926514,4.5,3.990000009536743,4.449999809265137,4.0,4.460000038146973,147114217,72893696
2020-08-14,3.0941836833953857,3.98919939994812,4.019999980926514,4.480000019073486,4.019999980926514,4.489999771118164,3.990000009536743,4.440000057220459,4.0,4.46999979019165,117517413,63621909
2020-08-17,3.1326682567596436,4.042625904083252,4.070000171661377,4.539999961853027,4.090000152587891,4.550000190734863,4.010000228881836,4.46999979019165,4.010000228881836,4.46999979019165,292142075,158287650
2020-08-18,3.124971389770508,4.033722400665283,4.059999942779541,4.53000020980835,4.079999923706055,4.550000190734863,4.039999961853027,4.510000228881836,4.070000171661377,4.539999961853027,172356026,93325518
2020-08-19,3.124971389770508,4.024816989898682,4.059999942779541,4.519999980926514,4.099999904632568,4.559999942779541,4.050000190734863,4.5,4.059999942779541,4.53000020980835,236413264,97898016
2020-08-20,3.1018807888031006,3.9713900089263916,4.03000020980835,4.460000038146973,4.059999942779541,4.519999980926514,4.019999980926514,4.449999809265137,4.059999942779541,4.519999980926514,179979741,101289920
2020-08-21,3.1018807888031006,3.9713900089263916,4.03000020980835,4.460000038146973,4.050000190734863,4.480000019073486,4.010000228881836,4.449999809265137,4.039999961853027,4.46999979019165,100434904,57202289
2020-08-24,3.1095774173736572,3.9713900089263916,4.039999961853027,4.460000038146973,4.050000190734863,4.480000019073486,4.019999980926514,4.449999809265137,4.03000020980835,4.46999979019165,104327010,60808981
2020-08-25,3.1018807888031006,3.9624860286712646,4.03000020980835,4.449999809265137,4.050000190734863,4.46999979019165,4.019999980926514,4.429999828338623,4.050000190734863,4.46999979019165,102714779,55872314
2020-08-26,3.117274522781372,3.9446768760681152,4.050000190734863,4.429999828338623,4.070000171661377,4.460000038146973,4.019999980926514,4.420000076293945,4.039999961853027,4.449999809265137,177817543,65748886
2020-08-27,3.1018807888031006,3.9446768760681152,4.03000020980835,4.429999828338623,4.059999942779541,4.440000057220459,4.010000228881836,4.409999847412109,4.050000190734863,4.420000076293945,102644729,47470328
2020-08-28,3.1018807888031006,3.9624860286712646,4.03000020980835,4.449999809265137,4.039999961853027,4.449999809265137,4.0,4.400000095367432,4.010000228881836,4.409999847412109,122791191,79414758
2020-08-31,3.1018807888031006,3.9446768760681152,4.03000020980835,4.429999828338623,4.059999942779541,4.460000038146973,4.019999980926514,4.420000076293945,4.03000020980835,4.440000057220459,160047916,63957297
2020-09-01,3.1018807888031006,3.9268674850463867,4.03000020980835,4.409999847412109,4.039999961853027,4.429999828338623,4.019999980926514,4.389999866485596,4.03000020980835,4.420000076293945,87702448,71032894
2020-09-02,3.078789472579956,3.873441457748413,4.0,4.349999904632568,4.03000020980835,4.400000095367432,3.990000009536743,4.340000152587891,4.03000020980835,4.400000095367432,99417007,107928308
2020-09-03,3.0710926055908203,3.837822914123535,3.990000009536743,4.309999942779541,4.019999980926514,4.369999885559082,3.9800000190734863,4.309999942779541,4.0,4.329999923706055,108358605,84640042
2020-09-04,3.0633955001831055,3.837822914123535,3.9800000190734863,4.309999942779541,3.990000009536743,4.309999942779541,3.9600000381469727,4.269999980926514,3.9800000190734863,4.289999961853027,118317300,72138413
2020-09-07,3.048001527786255,3.811110019683838,3.9600000381469727,4.28000020980835,3.9800000190734863,4.320000171661377,3.950000047683716,4.28000020980835,3.9700000286102295,4.300000190734863,110020047,62805500
2020-09-08,3.0556983947753906,3.837822914123535,3.9700000286102295,4.309999942779541,3.9800000190734863,4.309999942779541,3.950000047683716,4.28000020980835,3.9600000381469727,4.289999961853027,97108373,68232926
2020-09-09,3.0326075553894043,3.811110019683838,3.940000057220459,4.28000020980835,3.9700000286102295,4.300000190734863,3.940000057220459,4.260000228881836,3.950000047683716,4.28000020980835,121619965,75194851
2020-09-10,3.017213821411133,3.7754921913146973,3.9200000762939453,4.239999771118164,3.9600000381469727,4.300000190734863,3.9100000858306885,4.230000019073486,3.950000047683716,4.300000190734863,118299706,80951505
2020-09-11,3.009516954421997,3.7754921913146973,3.9100000858306885,4.239999771118164,3.9200000762939453,4.260000228881836,3.9000000953674316,4.210000038146973,3.9100000858306885,4.230000019073486,70922788,57173409
2020-09-14,3.017213821411133,3.7933013439178467,3.9200000762939453,4.260000228881836,3.930000066757202,4.269999980926514,3.9100000858306885,4.239999771118164,3.9200000762939453,4.25,57184320,38679581
2020-09-15,3.017213821411133,3.7754921913146973,3.9200000762939453,4.239999771118164,3.930000066757202,4.269999980926514,3.9100000858306885,4.230000019073486,3.9200000762939453,4.260000228881836,49234843,43619502
2020-09-16,3.0326075553894043,3.7843964099884033,3.940000057220459,4.25,3.950000047683716,4.289999961853027,3.9100000858306885,4.239999771118164,3.930000066757202,4.25,68228567,70086386
2020-09-17,3.0249109268188477,3.766587734222412,3.930000066757202,4.230000019073486,3.950000047683716,4.28000020980835,3.930000066757202,4.21999979019165,3.940000057220459,4.260000228881836,52459445,82148861
2020-09-18,3.048001527786255,3.8022055625915527,3.9600000381469727,4.269999980926514,3.9600000381469727,4.28000020980835,3.930000066757202,4.230000019073486,3.950000047683716,4.25,126999862,90199282
2020-09-21,3.0556983947753906,3.7843964099884033,3.9700000286102295,4.25,3.9800000190734863,4.28000020980835,3.950000047683716,4.25,3.9600000381469727,4.28000020980835,76441444,62860331
2020-09-22,3.0249109268188477,3.7638678550720215,3.930000066757202,4.139999866485596,3.9700000286102295,4.179999828338623,3.930000066757202,4.130000114440918,3.950000047683716,4.159999847412109,75632958,80997216
2020-09-23,3.017213821411133,3.736593723297119,3.9200000762939453,4.110000133514404,3.940000057220459,4.150000095367432,3.9200000762939453,4.110000133514404,3.930000066757202,4.139999866485596,42740906,51865100
2020-09-24,2.9941227436065674,3.7275021076202393,3.890000104904175,4.099999904632568,3.9200000762939453,4.110000133514404,3.880000114440918,4.070000171661377,3.9200000762939453,4.099999904632568,84426707,65893121
2020-09-25,2.9941227436065674,3.7184104919433594,3.890000104904175,4.090000152587891,3.9000000953674316,4.110000133514404,3.880000114440918,4.079999923706055,3.9000000953674316,4.099999904632568,42139544,35983562
2020-09-28,2.9941227436065674,3.7275021076202393,3.890000104904175,4.099999904632568,3.9100000858306885,4.130000114440918,3.880000114440918,4.090000152587891,3.890000104904175,4.090000152587891,69440687,43686826
2020-09-29,2.9941227436065674,3.7184104919433594,3.890000104904175,4.090000152587891,3.9100000858306885,4.110000133514404,3.890000104904175,4.090000152587891,3.9000000953674316,4.110000133514404,41162356,37578762
2020-09-30,3.009516954421997,3.736593723297119,3.9100000858306885,4.110000133514404,3.930000066757202,4.119999885559082,3.880000114440918,4.070000171661377,3.9000000953674316,4.090000152587891,71000182,61408409
2020-10-09,3.0249109268188477,3.7547767162323,3.930000066757202,4.130000114440918,3.950000047683716,4.139999866485596,3.9200000762939453,4.119999885559082,3.930000066757202,4.119999885559082,52393970,54100576
2020-10-12,3.048001527786255,3.800233840942383,3.9600000381469727,4.179999828338623,3.9700000286102295,4.190000057220459,3.9200000762939453,4.119999885559082,3.930000066757202,4.130000114440918,77817224,93048731
2020-10-13,3.0326075553894043,3.7729594707489014,3.940000057220459,4.150000095367432,3.9600000381469727,4.170000076293945,3.930000066757202,4.139999866485596,3.9600000381469727,4.170000076293945,41411879,43817109
2020-10-14,3.017213821411133,3.736593723297119,3.9200000762939453,4.110000133514404,3.940000057220459,4.150000095367432,3.9000000953674316,4.099999904632568,3.930000066757202,4.139999866485596,77735520,65172620
2020-10-15,3.017213821411133,3.736593723297119,3.9200000762939453,4.110000133514404,3.930000066757202,4.119999885559082,3.9100000858306885,4.090000152587891,3.9100000858306885,4.099999904632568,39910005,50961732
2020-10-16,3.0249109268188477,3.736593723297119,3.930000066757202,4.110000133514404,3.940000057220459,4.130000114440918,3.9100000858306885,4.099999904632568,3.9200000762939453,4.110000133514404,51148022,47526356
2020-10-19,3.017213821411133,3.736593723297119,3.9200000762939453,4.110000133514404,3.950000047683716,4.150000095367432,3.9100000858306885,4.099999904632568,3.930000066757202,4.110000133514404,80295509,74216150
2020-10-20,3.0249109268188477,3.7275021076202393,3.930000066757202,4.099999904632568,3.940000057220459,4.099999904632568,3.9100000858306885,4.079999923706055,3.9200000762939453,4.099999904632568,45152352,38608445
2020-10-21,3.0249109268188477,3.736593723297119,3.930000066757202,4.110000133514404,3.940000057220459,4.110000133514404,3.9100000858306885,4.079999923706055,3.930000066757202,4.099999904632568,61347563,50575344
2020-10-22,3.017213821411133,3.7275021076202393,3.9200000762939453,4.099999904632568,3.930000066757202,4.110000133514404,3.9100000858306885,4.079999923706055,3.9200000762939453,4.099999904632568,40614157,35413200
2020-10-23,3.056398391723633,3.745684862136841,3.9000000953674316,4.119999885559082,3.9200000762939453,4.150000095367432,3.8499999046325684,4.099999904632568,3.859999895095825,4.099999904632568,128970351,81067392
2020-10-26,3.056398391723633,3.736593723297119,3.9000000953674316,4.110000133514404,3.9200000762939453,4.119999885559082,3.890000104904175,4.090000152587891,3.9100000858306885,4.110000133514404,60531008,57819936
2020-10-27,3.040724754333496,3.7275021076202393,3.880000114440918,4.099999904632568,3.9000000953674316,4.099999904632568,3.880000114440918,4.079999923706055,3.9000000953674316,4.090000152587891,40298828,47797393
2020-10-28,3.040724754333496,3.7184104919433594,3.880000114440918,4.090000152587891,3.890000104904175,4.099999904632568,3.859999895095825,4.070000171661377,3.880000114440918,4.090000152587891,42840918,52160005
2020-10-29,3.0485613346099854,3.6820449829101562,3.890000104904175,4.050000190734863,3.9000000953674316,4.070000171661377,3.859999895095825,4.039999961853027,3.859999895095825,4.070000171661377,82797087,63573298
2020-10-30,3.056398391723633,3.700227975845337,3.9000000953674316,4.070000171661377,3.930000066757202,4.110000133514404,3.880000114440918,4.059999942779541,3.890000104904175,4.079999923706055,127074492,95492446
2020-11-02,3.064235210418701,3.691136121749878,3.9100000858306885,4.059999942779541,3.9200000762939453,4.079999923706055,3.880000114440918,4.039999961853027,3.9000000953674316,4.059999942779541,86468260,64819536
2020-11-03,3.095583200454712,3.745684862136841,3.950000047683716,4.119999885559082,3.950000047683716,4.139999866485596,3.9100000858306885,4.059999942779541,3.9200000762939453,4.070000171661377,100031742,95688649
2020-11-04,3.079909086227417,3.736593723297119,3.930000066757202,4.110000133514404,3.950000047683716,4.130000114440918,3.9100000858306885,4.090000152587891,3.950000047683716,4.119999885559082,56015453,58295954
2020-11-05,3.103419780731201,3.745684862136841,3.9600000381469727,4.119999885559082,3.9700000286102295,4.139999866485596,3.930000066757202,4.099999904632568,3.9600000381469727,4.119999885559082,99754661,77021348
2020-11-06,3.119093656539917,3.7547767162323,3.9800000190734863,4.130000114440918,3.990000009536743,4.150000095367432,3.950000047683716,4.099999904632568,3.9600000381469727,4.119999885559082,102154416,101192107
2020-11-09,3.1426045894622803,3.800233840942383,4.010000228881836,4.179999828338623,4.039999961853027,4.190000057220459,3.9800000190734863,4.139999866485596,3.990000009536743,4.150000095367432,118274467,127064599
2020-11-10,3.1661150455474854,3.8184168338775635,4.039999961853027,4.199999809265137,4.139999866485596,4.28000020980835,4.03000020980835,4.190000057220459,4.099999904632568,4.230000019073486,275912937,182402909
2020-11-11,3.2288103103637695,3.882056951522827,4.119999885559082,4.269999980926514,4.130000114440918,4.269999980926514,4.050000190734863,4.199999809265137,4.050000190734863,4.199999809265137,210512178,142254503
2020-11-12,3.1817891597747803,3.836599588394165,4.059999942779541,4.21999979019165,4.119999885559082,4.269999980926514,4.039999961853027,4.21999979019165,4.119999885559082,4.260000228881836,117668522,76485691
2020-11-13,3.1504414081573486,3.800233840942383,4.019999980926514,4.179999828338623,4.059999942779541,4.21999979019165,4.0,4.159999847412109,4.050000190734863,4.210000038146973,100156431,78219909
2020-11-16,3.213136672973633,3.8638744354248047,4.099999904632568,4.25,4.110000133514404,4.25,4.03000020980835,4.170000076293945,4.03000020980835,4.190000057220459,151312768,99182712
2020-11-17,3.2288103103637695,3.891148567199707,4.119999885559082,4.28000020980835,4.139999866485596,4.320000171661377,4.090000152587891,4.239999771118164,4.119999885559082,4.260000228881836,160928612,121867196
2020-11-18,3.2209737300872803,3.8729658126831055,4.110000133514404,4.260000228881836,4.139999866485596,4.289999961853027,4.090000152587891,4.239999771118164,4.099999904632568,4.260000228881836,141105354,91598550
2020-11-19,3.2288103103637695,3.8547823429107666,4.119999885559082,4.239999771118164,4.150000095367432,4.260000228881836,4.099999904632568,4.21999979019165,4.110000133514404,4.25,100221662,72451736
2020-11-20,3.2052998542785645,3.8547823429107666,4.090000152587891,4.239999771118164,4.130000114440918,4.239999771118164,4.070000171661377,4.199999809265137,4.119999885559082,4.230000019073486,94936212,75679042
2020-11-23,3.2915055751800537,3.918422222137451,4.199999809265137,4.309999942779541,4.199999809265137,4.340000152587891,4.099999904632568,4.230000019073486,4.099999904632568,4.230000019073486,255394821,196908319
2020-11-24,3.2836689949035645,3.93660569190979,4.190000057220459,4.329999923706055,4.230000019073486,4.340000152587891,4.179999828338623,4.28000020980835,4.199999809265137,4.309999942779541,125263644,122229169
2020-11-25,3.315016746520996,3.918422222137451,4.230000019073486,4.309999942779541,4.320000171661377,4.440000057220459,4.230000019073486,4.309999942779541,4.25,4.380000114440918,317337839,222786687
2020-11-26,3.3385276794433594,3.900240421295166,4.260000228881836,4.289999961853027,4.300000190734863,4.340000152587891,4.230000019073486,4.28000020980835,4.230000019073486,4.309999942779541,162329977,105128053
2020-11-27,3.354201555252075,3.909332036972046,4.28000020980835,4.300000190734863,4.28000020980835,4.309999942779541,4.21999979019165,4.25,4.260000228881836,4.289999961853027,127317332,125167949
2020-11-30,3.2836689949035645,3.918422222137451,4.190000057220459,4.309999942779541,4.329999923706055,4.369999885559082,4.190000057220459,4.269999980926514,4.269999980926514,4.309999942779541,201881064,190298550
2020-12-01,3.315016746520996,3.909332036972046,4.230000019073486,4.300000190734863,4.25,4.320000171661377,4.179999828338623,4.25,4.179999828338623,4.28000020980835,116281342,103898018
2020-12-02,3.3071794509887695,3.909332036972046,4.21999979019165,4.300000190734863,4.260000228881836,4.329999923706055,4.199999809265137,4.269999980926514,4.21999979019165,4.289999961853027,106814958,85786652
2020-12-03,3.2915055751800537,3.909332036972046,4.199999809265137,4.300000190734863,4.269999980926514,4.329999923706055,4.190000057220459,4.28000020980835,4.25,4.309999942779541,106665184,76602424
2020-12-04,3.275831699371338,3.900240421295166,4.179999828338623,4.289999961853027,4.21999979019165,4.309999942779541,4.139999866485596,4.260000228881836,4.199999809265137,4.300000190734863,124327964,81127889
2020-12-07,3.2209737300872803,3.8547823429107666,4.110000133514404,4.239999771118164,4.190000057220459,4.289999961853027,4.099999904632568,4.230000019073486,4.170000076293945,4.289999961853027,117473304,84910509
2020-12-08,3.213136672973633,3.827507972717285,4.099999904632568,4.210000038146973,4.130000114440918,4.260000228881836,4.079999923706055,4.199999809265137,4.110000133514404,4.239999771118164,73660095,60007714
2020-12-09,3.1896259784698486,3.800233840942383,4.070000171661377,4.179999828338623,4.119999885559082,4.230000019073486,4.070000171661377,4.179999828338623,4.090000152587891,4.210000038146973,78396215,60396677
2020-12-10,3.1817891597747803,3.809325695037842,4.059999942779541,4.190000057220459,4.079999923706055,4.210000038146973,4.050000190734863,4.179999828338623,4.070000171661377,4.179999828338623,73559154,62846049
2020-12-11,3.2288103103637695,3.836599588394165,4.119999885559082,4.21999979019165,4.119999885559082,4.239999771118164,4.050000190734863,4.190000057220459,4.099999904632568,4.21999979019165,125088937,90635718
2020-12-14,3.1817891597747803,3.809325695037842,4.059999942779541,4.190000057220459,4.099999904632568,4.239999771118164,4.039999961853027,4.170000076293945,4.090000152587891,4.199999809265137,107828479,64564180
2020-12-15,3.158278465270996,3.7729594707489014,4.03000020980835,4.150000095367432,4.050000190734863,4.190000057220459,4.0,4.130000114440918,4.039999961853027,4.179999828338623,71245124,68078348
2020-12-16,3.1661150455474854,3.7729594707489014,4.039999961853027,4.150000095367432,4.059999942779541,4.170000076293945,4.03000020980835,4.139999866485596,4.039999961853027,4.150000095367432,47071022,43062070
2020-12-17,3.2052998542785645,3.836599588394165,4.090000152587891,4.21999979019165,4.099999904632568,4.21999979019165,4.03000020980835,4.139999866485596,4.059999942779541,4.159999847412109,73530053,77813308
2020-12-18,3.213136672973633,3.8729658126831055,4.099999904632568,4.260000228881836,4.130000114440918,4.28000020980835,4.079999923706055,4.199999809265137,4.099999904632568,4.210000038146973,89943242,98544928
2020-12-21,3.1896259784698486,3.8638744354248047,4.070000171661377,4.25,4.110000133514404,4.28000020980835,4.050000190734863,4.239999771118164,4.090000152587891,4.260000228881836,90528671,73250859
2020-12-22,3.119093656539917,3.7638678550720215,3.9800000190734863,4.139999866485596,4.050000190734863,4.239999771118164,3.9800000190734863,4.130000114440918,4.039999961853027,4.230000019073486,121034740,100900143
2020-12-23,3.1269304752349854,3.7638678550720215,3.990000009536743,4.139999866485596,4.0,4.159999847412109,3.9700000286102295,4.130000114440918,3.990000009536743,4.139999866485596,66187138,65782985
2020-12-24,3.1269304752349854,3.782050848007202,3.990000009536743,4.159999847412109,4.019999980926514,4.170000076293945,3.9700000286102295,4.130000114440918,4.019999980926514,4.170000076293945,65498216,54134886
2020-12-25,3.134767532348633,3.791142463684082,4.0,4.170000076293945,4.010000228881836,4.179999828338623,3.9700000286102295,4.139999866485596,3.990000009536743,4.150000095367432,44862392,42183070
2020-12-28,3.1269304752349854,3.7638678550720215,3.990000009536743,4.139999866485596,4.010000228881836,4.179999828338623,3.9800000190734863,4.119999885559082,3.990000009536743,4.159999847412109,56639284,75957196
2020-12-29,3.1504414081573486,3.7547767162323,4.019999980926514,4.130000114440918,4.039999961853027,4.159999847412109,3.9800000190734863,4.099999904632568,3.9800000190734863,4.130000114440918,81676058,75961009
